Time,Country,inflation,call_rate,output_gap,credit_pnf,credit_hh,gov_debt,fx,vix,loan_rate,deposit_rate,nim,boj_assets,10y_bond_yield,real_rate,M3,qe_proxy,default_proxy,capital_stress,hh_debt_proxy
2016-02-01,JP,2.391896244870395,-0.0381115648659386,0.0039581084868309,-0.1232391550025795,-0.040163825255874,-0.4107847796950068,-0.0310133070764742,-0.554030479556765,-0.0242152881539541,-0.0564961890370088,0.0322809008830547,0.0183477444748891,-0.1654976016587395,-2.430007809736334,0.0020811747633189,0.0183477444748891,0.1232391550025795,-0.4630722254372402,-3.1642417025552723
2016-03-01,JP,0.0228838491175054,-0.0314443049021997,0.0031068128365134,-0.1232391550025795,-0.040163825255874,-0.4107847796950068,-0.0147998369935864,-6.2040989942668805,-0.1146340423015244,-0.0144650684132114,-0.100168973888313,0.0045888652734209,0.0084257515769126,-0.0543281540197051,0.0026132502100679,0.0045888652734209,0.1232391550025795,-5.980690865375988,-3.172430532492668
2016-04-01,JP,-1.6363842466201817,-0.0317188154321151,-0.0011492305848257,0.2767608449974261,0.0598361747441273,-0.4107847796950068,-0.030384801625523,-2.101203865332298,0.0420481363754193,0.0025619162624961,0.0394862201129232,0.0213849891591912,-0.0414733127889297,1.6046654311880666,0.0035136990826956,0.0213849891591912,0.0,-2.4174509304426475,-2.680619362430064
2016-05-01,JP,-0.7202100112142062,-0.0219933259620305,-0.0020315658643035,-0.1219443228709735,-0.0398077891716397,-0.4107847796950068,-0.0064450772551456,-0.2362658260163783,-0.0821157877467727,0.0046084314091167,-0.08672421915588939,0.026792669267234,-0.0417088292686308,0.6982166852521757,0.0029946139435281,0.026792669267234,0.1219443228709735,-0.0275972839895154,-2.687028011946288
2016-06-01,JP,1.268649701909652,0.0048153485171192,-0.0029442476500474,-0.1219443228709735,-0.0398077891716397,-0.4107847796950068,-0.0326566491488442,2.217241778734021,0.0576615940853544,0.0017692344545928,0.0558923596307616,0.0165163733489084,-0.1169443457483319,-1.263834353392533,0.0027333393691719,0.0165163733489084,0.1219443228709735,2.2832937419742327,-2.6934366614625125
2016-07-01,JP,-0.2280335117681886,0.0128486225207453,-0.0016607127514607,1.278055677129032,0.0601922108283545,-0.4107847796950068,-0.0110709299376567,-4.875134717500099,-0.0279869403167511,-0.0021898261641935,-0.025797114152557598,0.0235811070834657,0.0273154596011789,0.2408821342889339,0.002476163768307,0.0235811070834657,0.0,-6.127393280476574,-2.2998453109787453
2016-08-01,JP,-1.0027678008057703,0.0009484445316237,-0.002657373323208,-0.1174124104103384,-0.0394517530874054,-0.4107847796950068,-0.0287486094740794,-1.7216546804967177,-0.0464701181793322,0.0045735828753228,-0.051043701054655,0.0220872420703575,0.11755097608088,1.003716245337394,0.0022204804413661,0.0220872420703575,0.1174124104103384,-1.5531985690317243,-2.3048298161580325
2016-09-01,JP,-0.7014522236946874,-0.0080515554683762,-0.003704788074442,-0.1174124104103384,-0.0394517530874054,-0.4107847796950068,0.0053787245000824,0.7415531430040545,0.0434668905229895,0.0047343859207989,0.038732504602190604,0.0084099393654479,-0.0216078936344732,0.6934006682263112,0.0023479811980777,0.0084099393654479,0.1174124104103384,0.8202330488122023,-2.30981432133732
2016-10-01,JP,4.570711458613985,0.0158735780234649,-0.0046409967098064,1.2825875895896388,0.1605482469125974,-0.4107847796950068,0.0206452120389375,-0.4352721838255551,0.0053351782583028,0.0017462344222888,0.0035889438360139996,0.0143154244621666,0.0282911707313691,-4.5548378805905205,0.0027310608902126,0.0143154244621666,0.0,-1.7214487172512078,-2.1147988265166044
2016-11-01,JP,1.5616733620415602,-0.0110016444629371,-0.0057991133800197,-0.1128804979497033,-0.0387396809189368,-0.4107847796950068,0.0427236090229792,-0.0942877191906959,-0.0600850083066,0.0070871738035024,-0.0671721821101024,0.0165624072336765,0.0635266872110702,-1.5726750065044972,0.0035309769653366,0.0165624072336765,0.1128804979497033,0.0857649608691098,-2.119071259527423
